"Qty","Part Number","Description","Package","Manufacturer","Suggested Suppliers","Mouser Part No","Sub/Comments","Part ID."
"6","","Headers","2X08"," "," ","-"," ","JP1,JP2,JP3,JP4,JP5,JP6"
"6","7805","Voltage Regulator","78MXXS"," "," ","511-L7805CV"," ","7805,2,5,8,11,14"
"6","7812","Voltage Regulator","78MXXS"," "," ","511-L7812CV"," ","7812,1,4,7,10,13"
"6","7912","Voltage Regulator","79XXS"," "," ","926-LM7912CT/NOPB"," ","3,6,9,12,15,7912"
"6","220","Resistor","0207/5V"," "," ","594-5073NW220R0J"," ","R1,R4,R7,R10,R13,R16"
"12","550","Resistor","0207/5V"," "," ","-"," ","R2,R3,R5,R6,R8,R9,R11,R12,R14,R15,R17,R18"
"3","","Terminal","BANANA_CONN"," "," ","651-1985865"," ","SCREW_+15,SCREW_-15,SCREW_GND"
"18","0.1uf","Capacitor","CAP-PTH-SMALL-KIT"," "," ","810-FG26C0G2A104JRT6"," ","C1,C2,C3,C6,C7,C12,C13,C14,C15,C19,C20,C21,C24,C25,C26,C29,C30,C31"
"12","10uf","Capacitor","CPOL-RADIAL-10UF-25V"," "," ","647-UPW1E100MDD6"," ","C4,C5,C8,C9,C16,C17,C22,C23,C27,C28,C32,C33"
"3","100uf","Capacitor","CPOL-RADIAL-100UF-25V"," "," ","647-UVY1E101MDD"," ","C10,C11,C18"
"12","1N4004","Diode","DO41-10"," "," ","621-1N4004"," ","D1,D2,D3,D4,D7,D8,D9,D10,D11,D12,D13,D14"
"1","","Switch","EG1218"," "," ","612-EG1218"," ","S1"
"6","PIN2F061.200","Terminal","F061.200"," "," ","571-624091"," ","J1_+15,J2_+15,J3_GND,J4_GND,J5_-15,J6_-15"
"18","","LED","LED3MM"," "," ","696-SSF-LX3P74GD"," ","LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18"
"2","BA296","Rectifier","P2-15"," "," ","833-1N5400-TP"," ","D5,D6"
"2","PTCPTH","Reseting Fuse","PTC"," "," ","-","work out fuse value","F1,F2"
"2","","Inductor","RLB0912"," "," ","-","work out value/if needed","U$1,U$2"
